 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Causas evitáveis - 0 a 4 anos
Período:1997
"Município";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"231230 SAO BENEDITO";-;2;-;4;2;4;18;7;37
"231240 SAO GONCALO DO AMARANTE";-;1;-;4;1;2;1;1;10
"231250 SAO JOAO DO JAGUARIBE";-;-;-;1;-;2;2;1;6
"231260 SAO LUIS DO CURU";-;1;1;2;-;1;2;-;7
"231270 SENADOR POMPEU";-;-;1;4;1;1;1;1;9
"231280 SENADOR SA";-;-;-;1;1;2;2;1;7
"231290 SOBRAL";-;26;7;32;21;24;26;14;150
"231300 SOLONOPOLE";-;-;-;-;-;1;2;-;3
"231310 TABULEIRO DO NORTE";-;1;1;3;1;5;2;2;15
"231320 TAMBORIL";-;-;-;1;1;1;-;4;7
"231325 TARRAFAS";-;-;-;-;-;1;2;1;4
"231330 TAUA";-;12;2;8;8;10;20;2;62
"231335 TEJUCUOCA";-;1;-;3;2;-;-;-;6
"231340 TIANGUA";-;5;4;16;6;9;15;10;65
"231350 TRAIRI";-;1;4;-;5;3;5;1;19
"231355 TURURU";-;1;-;2;1;-;-;1;5
"231360 UBAJARA";-;1;-;-;1;3;5;1;11
"231370 UMARI";-;-;-;-;-;2;7;-;9
"231375 UMIRIM";-;-;1;-;2;2;2;1;8
"231380 URUBURETAMA";-;2;1;6;2;7;6;2;26
"231390 URUOCA";-;2;1;1;1;1;8;1;15
"231395 VARJOTA";-;3;-;1;1;-;-;1;6
"231400 VARZEA ALEGRE";-;2;1;3;3;3;5;1;18
"231410 VICOSA DO CEARA";-;2;1;2;10;9;13;5;42
" MUNICIPIO IGNORADO - RN";-;12;10;35;4;7;1;12;81
"240010 ACARI";-;-;1;1;-;-;2;-;4
"240020 ACU";-;2;2;8;-;2;3;2;19
"240030 AFONSO BEZERRA";-;-;-;-;-;2;-;1;3
"240040 AGUA NOVA";-;-;-;-;-;-;-;-;-
